"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"1","1","414.l.782339.t.1","Live Laugh Olave","414.p.32711","Taylor","Jonathan","1.2","1.0","$70.2","100%"
"2","1","414.l.782339.t.2","Pratik Shah's Team","414.p.30121","McCaffrey","Christian","3.2","1.0","$62.2","100%"
"3","1","414.l.782339.t.3","Mr. Glass","414.p.29279","Henry","Derrick","6.2","1.1","$58.2","100%"
"4","1","414.l.782339.t.4","Herbed Lamb","414.p.30154","Cook","Dalvin","6.8","1.1","$56.7","100%"
"5","1","414.l.782339.t.5","Secret Hitler","414.p.30161","Mixon","Joe","11.6","1.7","$51.0","100%"
"6","1","414.l.782339.t.6","Sun God","414.p.30182","Kupp","Cooper","4.6","1.0","$58.0","100%"
"7","1","414.l.782339.t.7","Excelsior","414.p.32692","Jefferson","Justin","4.8","1.1","$57.9","100%"
"8","1","414.l.782339.t.8","Fly Ravens Fly","414.p.28534","Diggs","Stefon","11.2","1.6","$45.9","100%"
"9","1","414.l.782339.t.9","Candyman","414.p.33412","Harris","Najee","11.3","1.6","$51.6","100%"
"10","1","414.l.782339.t.10","KYLE","414.p.30972","Barkley","Saquon","17.2","2.3","$40.4","100%"
"11","1","414.l.782339.t.11","Pound Foolish","414.p.32705","Swift","D'Andre","17.6","2.2","$43.4","100%"
"12","1","414.l.782339.t.12","Team Triple D","414.p.27581","Adams","Davante","13.7","2.0","$45.8","100%"
"13","2","414.l.782339.t.12","Team Triple D","414.p.30295","Jones","Aaron","16.2","2.2","$38.7","100%"
"14","2","414.l.782339.t.11","Pound Foolish","414.p.30180","Kamara","Alvin","18.4","2.4","$41.4","100%"
"15","2","414.l.782339.t.10","KYLE","414.p.32687","Lamb","CeeDee","15.7","2.1","$40.8","100%"
"16","2","414.l.782339.t.9","Candyman","414.p.33423","Williams","Javonte","25.3","3.1","$39.6","100%"
"17","2","414.l.782339.t.8","Fly Ravens Fly","414.p.31005","Chubb","Nick","18.8","2.4","$43.7","100%"
"18","2","414.l.782339.t.7","Excelsior","414.p.30218","Conner","James","30.7","3.7","$26.6","100%"
"19","2","414.l.782339.t.6","Sun God","414.p.26686","Kelce","Travis","17.3","2.2","$41.1","100%"
"20","2","414.l.782339.t.5","Secret Hitler","414.p.29399","Hill","Tyreek","23.0","2.9","$31.9","100%"
"21","2","414.l.782339.t.4","Herbed Lamb","414.p.31056","Andrews","Mark","25.3","3.1","$32.1","100%"
"22","2","414.l.782339.t.3","Mr. Glass","414.p.27535","Evans","Mike","21.9","2.8","$31.1","100%"
"23","2","414.l.782339.t.2","Pratik Shah's Team","414.p.32703","Higgins","Tee","31.7","3.7","$25.4","100%"
"24","2","414.l.782339.t.1","Live Laugh Olave","414.p.33413","Etienne Jr.","Travis","45.0","5.1","$16.9","100%"
"25","3","414.l.782339.t.1","Live Laugh Olave","414.p.32704","Pittman Jr.","Michael","29.7","3.5","$25.7","100%"
"26","3","414.l.782339.t.2","Pratik Shah's Team","414.p.26699","Allen","Keenan","32.4","3.8","$24.9","100%"
"27","3","414.l.782339.t.3","Mr. Glass","414.p.29238","Elliott","Ezekiel","30.7","3.6","$26.8","100%"
"28","3","414.l.782339.t.4","Herbed Lamb","414.p.33991","Hall","Breece","44.8","5.0","$16.0","100%"
"29","3","414.l.782339.t.5","Secret Hitler","414.p.31010","Sutton","Courtland","44.9","5.1","$13.2","100%"
"30","3","414.l.782339.t.6","Sun God","414.p.31905","Montgomery","David","48.1","5.4","$17.6","100%"
"31","3","414.l.782339.t.7","Excelsior","414.p.33392","Pitts","Kyle","35.9","4.2","$21.1","100%"
"32","3","414.l.782339.t.8","Fly Ravens Fly","414.p.30120","Williams","Mike","42.1","4.8","$13.5","100%"
"33","3","414.l.782339.t.9","Candyman","414.p.33393","Chase","Ja'Marr","8.5","1.2","$53.4","100%"
"34","3","414.l.782339.t.10","KYLE","414.p.30994","Moore","DJ","37.8","4.3","$18.1","100%"
"35","3","414.l.782339.t.11","Pound Foolish","414.p.31908","McLaurin","Terry","43.9","5.0","$13.4","100%"
"36","3","414.l.782339.t.12","Team Triple D","414.p.30977","Allen","Josh","21.5","2.7","$29.7","100%"
"37","4","414.l.782339.t.12","Team Triple D","414.p.30259","Kittle","George","45.1","5.1","$13.2","100%"
"38","4","414.l.782339.t.11","Pound Foolish","414.p.34063","Pierce","Dameon","78.4","8.5","$10.2","84%"
"39","4","414.l.782339.t.10","KYLE","414.p.27589","Robinson II","Allen","50.5","5.7","$10.0","100%"
"40","4","414.l.782339.t.9","Candyman","414.p.33394","Waddle","Jaylen","51.7","5.8","$12.4","100%"
"41","4","414.l.782339.t.8","Fly Ravens Fly","414.p.32725","Dobbins","J.K.","61.9","6.8","$11.4","100%"
"42","4","414.l.782339.t.7","Excelsior","414.p.31104","Edmonds","Chase","70.1","7.6","$8.0","100%"
"43","4","414.l.782339.t.6","Sun God","414.p.30123","Mahomes","Patrick","36.0","4.2","$14.8","100%"
"44","4","414.l.782339.t.5","Secret Hitler","414.p.32732","Dillon","AJ","55.3","6.1","$12.4","100%"
"45","4","414.l.782339.t.4","Herbed Lamb","414.p.27548","Cooks","Brandin","71.5","7.8","$5.8","100%"
"46","4","414.l.782339.t.3","Mr. Glass","414.p.28592","Waller","Darren","48.0","5.5","$12.4","100%"
"47","4","414.l.782339.t.2","Pratik Shah's Team","414.p.31856","Jacobs","Josh","57.9","6.4","$10.7","100%"
"48","4","414.l.782339.t.1","Live Laugh Olave","414.p.31898","Johnson","Diontae","52.4","5.8","$11.7","100%"
"49","5","414.l.782339.t.1","Live Laugh Olave","414.p.32798","Davis","Gabe","65.5","7.2","$7.5","100%"
"50","5","414.l.782339.t.2","Pratik Shah's Team","414.p.30175","Smith-Schuster","JuJu","63.9","7.1","$7.0","100%"
"51","5","414.l.782339.t.3","Mr. Glass","414.p.30117","Fournette","Leonard","21.2","2.6","$38.3","100%"
